employee_id,age,gender,years_at_company,job_role,monthly_income,work_life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,company_tenure,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
3032,36,1,26,2,9482,4,1,4,2,2,44,4,1,4,1,2,28,2,2,2,3,3,2
26880,27,1,12,5,8022,3,3,1,1,2,73,4,1,1,1,2,30,2,2,2,3,4,1
47539,32,2,9,5,12240,1,1,1,2,2,93,5,1,0,1,2,73,2,2,1,2,1,2
4786,59,1,48,2,8196,2,3,3,0,2,62,5,1,0,1,2,95,2,2,1,2,3,2
68000,22,1,7,3,10012,2,3,1,1,2,99,5,1,0,1,1,43,2,2,2,2,3,2
42053,43,2,23,1,3812,1,1,3,0,2,96,4,2,3,1,1,69,2,2,2,3,1,2
54995,22,1,6,3,8767,2,1,1,0,2,55,5,2,4,2,3,63,2,2,2,2,4,2
1279,55,1,25,5,9099,4,4,1,0,2,42,2,3,2,3,1,95,2,2,2,2,3,1
13376,32,2,18,2,8052,3,1,3,0,2,5,4,3,3,3,2,33,1,2,2,4,3,2
13169,42,2,7,5,7314,2,1,1,3,1,28,2,1,4,2,2,38,2,2,2,2,4,2
33968,56,1,35,5,9615,4,1,3,1,2,25,4,1,0,2,1,73,2,2,2,4,1,2
25662,41,2,14,5,8118,4,4,3,1,2,3,4,3,4,2,1,63,2,2,2,2,4,1
34240,57,2,13,1,4492,3,1,3,3,1,27,5,1,5,2,3,27,2,2,2,2,3,2
72123,59,1,24,1,3644,3,4,4,1,2,83,4,1,4,3,1,26,2,2,2,2,1,1
11833,27,1,10,2,9983,4,2,3,0,2,14,1,1,0,3,1,49,2,2,2,4,1,2
63405,51,1,41,5,8387,2,1,3,0,1,16,5,1,5,2,1,88,2,2,2,3,3,2
26938,59,2,9,5,10107,3,1,3,0,1,22,1,1,3,1,2,66,1,2,1,2,3,2
49495,50,2,10,4,6493,2,1,1,0,2,29,1,3,0,2,2,72,1,2,2,2,4,2
13947,56,2,1,2,7758,1,2,3,0,2,14,5,1,2,3,3,32,1,1,2,2,4,2
62520,56,1,43,4,6357,3,4,3,1,2,90,1,3,0,2,1,44,2,2,2,4,1,1
52157,42,2,13,1,3816,1,4,3,1,1,23,1,3,1,3,1,49,1,2,2,2,4,2
24543,22,2,2,3,9492,2,2,2,1,2,93,1,3,1,3,1,47,2,2,2,2,4,1
54581,57,2,24,2,9252,2,2,3,2,2,32,1,1,2,2,1,44,2,2,2,2,2,2
1091,57,2,2,3,12142,3,4,2,1,2,16,1,1,1,2,1,67,2,2,2,2,1,2
33481,35,2,24,1,3298,3,2,3,1,2,7,2,3,4,3,1,84,2,2,2,2,1,1
11336,23,1,5,2,7127,4,1,3,1,1,5,5,1,1,1,1,55,2,2,1,2,4,2
2108,23,2,12,2,8423,3,2,3,0,2,6,5,3,2,1,1,61,1,2,2,3,4,2
6469,34,1,5,3,10052,3,1,4,0,1,25,5,1,5,1,1,59,2,2,2,1,4,2
66001,24,2,16,2,8331,3,1,3,0,1,88,4,1,0,3,1,49,1,2,2,3,3,2
39357,55,2,31,1,5768,2,1,3,0,2,39,4,1,1,2,2,57,2,2,2,1,1,1
29600,44,1,4,5,10383,3,3,4,0,2,11,4,3,4,1,1,51,2,2,2,4,3,1
34896,39,2,10,5,11646,1,3,3,1,2,50,4,1,0,2,3,24,2,2,2,2,4,2
49124,46,2,23,5,7858,1,3,3,0,2,30,5,1,3,3,1,50,2,2,1,2,4,2
27997,55,1,10,3,7169,2,1,4,0,2,87,4,1,0,2,3,33,1,2,2,2,4,2
31155,22,1,9,5,9093,2,1,3,0,2,86,4,2,1,3,2,33,2,2,2,4,1,1
38313,30,1,18,5,12018,3,3,3,0,2,60,2,2,1,2,3,29,2,2,2,4,3,1
7135,29,1,10,4,6547,3,2,3,1,2,66,1,3,0,2,1,57,1,2,2,3,3,2
39553,36,2,11,1,3883,1,4,4,2,1,26,5,2,1,3,2,35,1,2,2,4,4,2
6794,49,2,30,5,10084,3,2,3,3,2,31,3,1,2,3,1,77,2,2,2,2,3,2
14519,36,1,25,4,5680,3,2,4,0,2,87,2,3,4,2,2,73,2,2,2,4,4,1
14011,53,2,18,1,5700,1,2,1,0,2,35,4,1,0,3,1,34,2,2,2,3,3,2
16439,49,2,9,5,7204,2,1,4,1,1,82,4,3,0,1,1,19,2,2,2,1,3,1
6335,19,2,11,1,4934,3,1,3,2,2,32,2,3,2,3,3,79,1,1,2,3,4,1
19394,43,1,17,2,8245,4,1,2,1,2,18,4,3,2,3,3,74,1,2,2,3,4,1
71080,49,2,13,2,7970,3,1,3,0,2,53,4,1,4,3,1,21,1,2,2,3,1,2
60021,49,1,13,3,8164,2,1,1,1,2,95,5,3,0,1,2,74,2,2,2,3,1,1
44982,24,2,6,2,8635,2,4,3,0,2,99,5,3,1,1,1,19,2,2,1,4,4,1
8899,40,1,4,2,6097,3,2,3,0,1,81,1,1,5,3,2,48,2,2,2,2,1,1
128,43,1,10,5,10964,1,2,1,0,2,94,2,1,2,3,1,22,2,2,2,2,3,1
69732,58,1,8,1,4021,2,1,3,3,1,78,4,1,1,3,1,65,2,2,2,3,1,1
46987,40,1,23,5,8471,2,1,1,2,1,91,5,1,1,3,2,30,2,2,2,3,4,1
73607,45,1,1,5,7841,1,1,4,0,2,35,4,3,3,2,1,19,2,2,1,2,4,1
45755,39,1,3,1,4428,2,4,3,0,2,90,2,3,0,2,1,50,2,1,1,4,4,2
1881,29,2,1,5,8703,2,2,4,1,1,12,4,1,4,3,1,74,1,2,2,2,3,2
31115,22,1,14,3,8200,2,3,4,0,1,55,4,1,2,2,1,34,2,2,2,2,3,1
15295,51,1,42,2,4830,3,1,1,0,2,53,5,3,0,2,3,94,2,2,2,2,3,1
15968,55,1,21,4,6860,2,2,2,0,2,35,4,1,0,3,1,79,2,2,2,1,4,1
4666,35,1,4,3,11105,3,1,2,0,1,2,2,3,0,3,2,69,2,2,2,2,1,1
45346,51,1,35,5,11078,4,1,3,1,1,22,4,2,0,2,1,70,1,2,2,2,4,2
17550,55,2,41,4,5448,4,1,3,0,2,5,2,1,4,1,1,111,2,2,1,3,3,2
61929,57,2,19,3,8851,2,1,1,1,1,73,5,3,0,3,1,36,2,2,2,3,4,1
832,57,1,12,4,6217,3,3,3,0,1,58,5,1,1,2,1,90,1,2,2,2,4,2
10269,29,1,17,2,6642,2,1,3,0,1,75,2,1,0,3,1,38,1,2,2,3,3,2
62491,25,2,17,1,4368,2,2,3,1,2,69,1,2,2,1,1,46,2,2,2,2,3,2
41981,22,1,2,2,9102,2,1,3,0,2,85,1,3,0,1,2,16,2,2,2,4,3,1
43687,49,1,3,5,9599,2,1,4,1,2,4,4,2,3,2,3,58,2,2,2,3,3,2
41828,37,1,13,4,5983,3,1,3,0,2,11,4,1,0,3,2,49,2,2,2,2,1,2
70755,41,1,18,3,10901,4,2,3,2,1,72,3,2,1,1,3,78,2,2,2,2,3,2
9802,49,1,16,3,9338,3,2,3,0,2,49,1,1,1,2,1,25,2,2,1,2,3,2
43886,57,1,8,5,8598,2,1,3,2,1,89,2,1,3,1,1,69,2,2,2,2,3,1
69600,38,2,2,3,9024,2,3,2,1,2,12,2,1,1,3,2,62,2,2,2,2,4,2
66482,36,1,25,4,5262,2,4,4,0,1,95,5,1,5,3,1,75,2,2,2,2,4,1
62883,19,1,2,1,4561,2,1,4,0,2,97,5,3,3,2,1,49,2,2,2,3,3,1
61496,45,2,8,2,7569,1,4,1,0,1,76,5,1,2,3,2,46,2,2,1,2,3,1
39479,42,1,18,3,8549,4,2,3,0,1,94,1,2,2,1,3,37,2,2,2,4,4,1
40258,21,2,9,1,4742,2,1,3,1,2,69,1,1,0,3,1,73,2,2,2,2,4,1
46253,24,2,5,2,8231,3,1,3,2,1,41,2,1,1,2,1,74,2,2,2,2,1,2
36030,25,2,11,5,9236,1,1,3,0,2,80,4,1,0,1,2,31,2,2,2,2,4,2
67337,24,1,15,5,7575,3,2,3,0,2,91,1,1,0,3,1,17,2,2,1,4,1,1
63733,42,2,28,4,6956,2,2,4,3,1,17,2,3,0,2,3,33,2,2,2,1,1,2
65401,43,1,19,2,8167,1,1,3,1,2,87,4,3,4,1,1,69,2,2,2,3,1,2
44205,29,2,18,1,3294,2,2,3,0,2,42,5,3,0,1,1,92,1,2,2,2,4,2
17621,57,1,48,4,6521,3,2,3,2,1,52,5,2,3,2,1,110,2,2,2,2,4,1
26677,37,2,4,4,6097,1,1,3,2,2,90,5,1,3,2,3,21,2,2,1,4,4,1
32453,38,1,3,1,4916,2,2,3,0,2,86,5,1,1,3,1,59,1,2,2,1,1,1
27160,24,2,13,1,5131,4,1,3,1,1,13,1,3,0,3,3,28,1,2,2,3,3,2
3355,31,2,14,5,10131,2,4,3,0,1,42,5,3,4,1,1,89,1,2,2,4,3,2
63591,57,2,38,5,9838,3,2,1,0,2,36,1,1,0,3,1,84,2,2,2,2,4,2
30940,18,1,2,1,4743,2,2,3,0,2,41,4,3,4,1,1,80,2,2,2,2,3,2
17316,37,1,15,2,8012,2,2,3,0,1,83,4,1,1,2,1,59,2,2,2,2,4,1
54762,29,2,10,2,7539,3,3,3,0,1,86,2,1,0,1,1,49,2,2,1,2,1,2
45422,40,2,1,5,8284,1,3,3,2,1,20,4,3,1,2,2,65,2,1,2,3,3,1
21229,38,1,22,5,10359,2,1,3,0,1,78,5,1,4,2,2,91,2,2,2,2,4,2
31471,23,2,12,1,5912,3,1,1,2,2,8,1,1,0,3,1,36,2,2,2,3,4,1
63696,52,2,17,4,5341,3,1,1,2,2,54,5,3,0,2,1,22,1,2,2,2,4,2
52508,37,2,15,5,11018,3,2,3,2,2,60,2,1,1,3,3,22,1,2,2,2,2,2
43399,43,2,26,5,8393,3,1,3,3,2,51,4,2,4,2,1,85,2,2,2,3,3,2
25234,56,1,5,5,10062,1,3,4,0,2,39,1,1,0,1,2,59,2,2,1,2,1,2
52082,57,2,49,2,7280,3,1,3,0,2,21,5,3,0,3,1,97,2,2,1,2,3,1
51526,30,1,4,3,10333,2,1,1,0,2,37,2,3,0,3,2,15,1,2,2,4,3,1
1448,22,1,1,5,8674,2,1,3,2,1,73,5,2,2,3,1,71,2,2,2,2,4,1
61644,36,2,16,2,8283,2,1,4,0,2,50,5,1,1,1,2,61,2,2,2,2,4,2
62199,42,2,1,4,5733,1,1,3,2,2,81,5,1,0,3,1,22,2,2,1,2,1,2
44932,34,2,3,2,9353,3,1,3,1,2,75,1,1,0,3,1,65,2,2,2,1,1,1
12577,51,2,9,2,6511,2,1,3,0,2,29,4,3,1,1,3,18,1,1,2,2,1,2
6010,20,1,7,4,4829,4,1,4,1,1,10,1,1,4,1,1,30,2,2,2,4,4,2
64073,38,2,20,3,11758,2,3,3,0,2,9,4,1,0,3,2,32,2,1,2,2,4,2
22751,59,2,50,1,4505,2,2,3,0,2,2,1,1,0,1,1,52,2,2,2,2,3,2
8242,34,2,5,5,7760,2,2,3,0,1,15,4,3,1,2,1,35,2,2,2,4,3,1
72186,54,2,37,2,7771,4,2,3,0,2,23,5,3,0,2,2,67,2,2,2,2,4,1
34340,40,1,10,5,11606,3,3,3,4,1,89,4,3,1,3,2,82,2,2,2,1,3,1
48939,40,2,20,2,8553,3,2,3,2,1,75,2,1,0,2,2,84,2,2,2,3,4,1
68996,33,2,20,5,9980,3,2,3,0,1,89,5,1,3,2,1,76,2,2,1,2,1,1
24222,26,1,15,5,10868,2,2,3,0,2,20,1,3,5,2,1,40,2,2,2,3,1,2
20691,49,2,1,4,5138,3,1,4,2,2,2,5,1,2,2,1,79,2,2,2,4,1,2
21750,53,2,37,5,8682,3,1,3,1,2,86,4,3,5,2,1,96,2,2,2,2,3,1
50869,20,1,6,4,6138,3,1,4,0,1,55,1,2,3,2,2,41,2,2,2,2,4,1
67224,33,1,10,2,7789,3,2,4,2,2,53,2,1,2,1,2,39,2,2,2,4,3,1
27073,48,2,27,2,9460,4,3,1,2,2,83,5,1,2,2,2,106,2,2,2,4,1,1
45079,33,2,23,1,3606,1,3,4,1,1,84,2,1,0,3,1,42,2,2,2,2,3,1
22285,20,2,6,2,8065,3,4,4,0,1,8,1,1,2,1,1,17,2,2,2,2,1,1
42992,31,2,1,1,3535,2,1,3,2,2,60,5,3,1,3,1,69,2,2,2,2,4,1
68339,33,2,4,5,7544,3,4,3,3,2,78,4,2,2,3,2,31,2,2,2,4,3,1
29539,41,2,31,3,5870,3,1,3,0,2,67,5,3,1,3,1,43,2,2,2,2,4,1
10792,22,2,8,5,7848,2,2,1,2,1,58,1,1,1,3,3,28,2,2,2,4,3,1
8611,22,1,13,4,5512,1,1,1,0,2,89,4,2,1,3,1,29,2,2,2,2,3,1
68083,43,1,11,2,7746,3,4,4,1,1,54,1,1,0,2,1,27,1,2,2,2,4,1
66525,24,1,9,2,8895,4,3,3,1,1,43,5,3,2,2,2,63,2,2,2,2,3,1
63058,47,1,17,3,12280,3,3,2,1,2,28,1,2,1,1,2,49,2,2,2,2,3,2
47545,23,2,12,5,9652,3,3,3,0,1,61,5,2,0,1,2,68,2,2,2,3,3,2
41659,43,1,26,2,7497,3,3,1,1,2,72,5,3,0,3,2,27,2,2,2,2,1,1
61640,24,1,14,3,7210,2,1,3,2,2,23,3,1,4,3,1,29,2,1,2,3,4,2
68045,52,2,24,2,7027,4,1,3,1,1,86,4,3,1,3,1,69,1,2,1,2,1,1
16937,45,2,18,4,6442,4,4,3,0,2,57,5,3,2,3,1,66,1,2,2,2,3,1
3887,21,1,5,2,8976,1,1,4,1,2,13,1,3,1,1,1,66,1,2,2,2,3,1
411,29,2,19,2,7045,1,1,3,0,2,11,5,1,1,1,2,53,2,2,2,4,4,2
44012,48,1,26,3,12008,1,3,3,2,2,53,1,3,1,2,3,97,2,2,2,3,1,1
61460,18,1,2,4,6163,4,2,2,2,2,35,2,2,0,2,2,77,2,2,2,3,1,1
6502,22,2,3,1,4340,1,2,3,1,2,55,2,1,3,2,1,7,2,2,2,2,4,1
550,55,1,4,2,8981,2,1,3,0,2,83,2,3,3,3,1,79,2,2,2,2,4,1
58222,35,2,21,2,5749,1,4,3,0,2,63,1,2,2,3,1,28,2,2,2,2,3,2
74399,49,2,14,1,4639,3,3,1,2,2,47,1,3,2,2,2,65,2,2,2,2,1,1
35388,58,2,37,5,8045,3,4,1,0,2,53,5,3,5,2,3,62,2,2,2,3,3,2
73312,30,1,15,1,5317,3,3,3,0,2,5,2,3,2,2,1,66,2,2,2,2,1,1
39168,21,2,5,5,6498,2,2,1,3,2,49,4,1,3,3,1,52,2,2,2,2,1,2
47804,45,1,3,2,6678,3,3,1,1,2,64,5,1,3,2,1,42,2,2,2,4,4,1
40010,35,1,16,4,5660,3,1,3,0,1,23,4,1,1,3,3,65,2,2,2,3,1,2
13905,52,1,34,4,5146,2,4,4,1,2,53,2,1,0,2,2,113,2,2,2,2,3,1
31436,45,2,27,5,10185,3,2,3,3,2,88,4,3,3,2,1,88,2,2,2,2,3,2
65592,57,2,42,1,4045,3,3,2,0,2,50,2,1,0,1,1,92,2,2,2,4,4,2
42685,27,1,4,5,7344,1,1,3,0,2,96,2,1,5,2,1,21,1,2,2,4,1,2
34175,45,2,15,2,9192,1,2,1,3,2,93,1,3,0,2,3,40,2,2,2,2,4,1
20796,43,1,7,5,10578,1,1,3,0,2,45,2,3,1,3,2,20,2,2,2,2,4,1
4985,43,1,8,2,8882,4,3,2,1,1,45,5,2,1,3,1,81,1,2,2,2,4,1
66271,38,1,24,1,5414,4,4,1,1,2,99,4,1,0,3,2,102,2,2,2,3,4,1
34253,33,1,9,1,4325,2,1,3,0,2,64,4,3,2,2,1,77,2,2,2,3,1,1
40806,48,2,21,3,5543,2,4,3,1,2,74,5,3,1,2,1,69,1,2,1,4,1,1
25507,43,2,30,2,8492,2,2,3,0,2,96,1,1,4,2,3,35,2,2,2,2,4,2
48200,20,2,2,4,6112,2,2,1,2,2,84,2,3,1,1,1,42,2,2,2,1,3,2
44235,25,1,17,2,7632,3,1,3,2,1,16,2,2,1,3,1,88,1,2,2,3,3,1
10619,43,1,29,5,7161,2,4,3,0,2,24,2,3,4,3,3,96,2,2,2,4,1,1
48496,44,2,16,2,8135,1,1,4,0,2,83,4,1,2,1,1,63,2,2,2,2,4,2
1604,32,2,4,5,9645,3,4,3,2,1,10,5,1,4,2,3,18,1,2,2,2,4,2
74100,57,2,11,4,6215,3,3,1,0,2,94,2,2,4,1,1,38,2,2,2,4,4,2
24677,21,1,5,5,7461,1,2,3,0,2,77,5,1,0,1,1,8,2,2,2,2,1,2
21907,47,2,28,4,6733,2,4,3,0,2,8,2,3,1,2,3,75,2,2,2,4,3,1
45560,39,1,20,3,8120,4,3,3,0,2,41,1,2,4,3,2,51,2,2,2,3,2,2
10407,36,1,4,1,2937,4,3,2,0,1,73,2,1,2,3,1,51,2,2,2,2,4,1
27496,52,1,20,5,11038,2,4,3,0,2,26,1,1,0,3,1,84,2,2,1,4,1,1
59803,25,2,9,5,7347,3,3,4,0,1,74,5,1,1,2,3,53,1,2,2,4,3,1
18658,36,2,26,1,5247,4,1,3,2,2,9,4,3,1,3,3,86,2,2,2,2,3,1
47111,28,1,18,2,9073,1,1,2,0,2,78,4,1,0,2,2,82,2,2,1,2,4,2
43850,42,1,9,2,8615,3,3,3,3,2,92,4,1,1,3,1,84,2,2,2,3,2,1
35837,43,2,17,1,3503,3,1,3,0,2,27,1,3,0,1,2,25,2,2,2,3,4,2
39187,44,1,25,4,5771,1,2,3,2,1,46,3,2,1,1,2,82,2,2,2,3,4,2
31448,57,1,14,4,5622,3,4,3,2,2,1,4,1,2,2,2,41,2,2,1,2,1,2
29706,51,1,32,4,5680,2,2,3,0,2,6,4,1,1,3,2,69,2,2,2,2,4,1
5170,40,1,19,2,6846,4,3,3,3,2,15,5,3,4,3,1,46,2,1,1,1,1,1
47039,23,2,6,3,6860,4,4,1,1,2,86,4,1,1,2,1,64,1,2,2,2,1,1
69917,36,2,3,2,7276,3,2,3,0,1,56,4,1,4,1,3,38,2,2,2,2,4,2
47372,55,2,24,1,3586,1,1,3,2,2,3,4,1,2,2,2,87,2,2,2,2,4,2
68950,48,2,20,1,5203,1,1,4,4,2,44,1,1,1,3,1,31,2,2,2,1,3,2
19452,56,1,42,1,4116,2,1,4,0,1,87,5,1,3,3,2,46,2,2,1,2,1,1
39231,36,2,11,5,7237,3,3,3,0,1,74,1,3,2,2,1,41,2,2,2,2,4,1
14620,33,2,2,5,7638,1,2,4,0,2,15,5,3,0,3,1,31,2,2,1,4,1,1
65534,38,2,16,1,4854,2,2,1,2,2,67,3,1,4,3,2,79,2,2,2,2,1,2
12054,58,2,28,2,8336,1,1,1,0,2,8,1,1,0,2,1,86,2,2,2,2,3,2
22049,43,2,21,1,5451,1,1,3,0,2,44,2,3,2,2,2,63,2,2,2,1,1,1
65463,59,2,38,2,6981,2,2,3,0,2,93,4,3,2,2,2,79,2,2,2,2,2,1
